precio,precio_viejo,modelo,marca,precio_nuevo
39199,,Laptop Lenovo ThinkPad X1 Yoga:,Lenovo,
23599,,Laptop Lenovo ThinkPad Helix 2da Gen:,Lenovo,
46199,,Laptop DELL Alienware 17:,DELL,
14599,,HP 240 G4:,Hewlett Packard,
13899,,Laptop Lenovo Ideapad G40-80:,Lenovo,
19199,,Laptop DELL Latitude E5570:,DELL,
23599,,Laptop DELL Inspiron 15-7559:,DELL,
6999,,Laptop ASUS X Series X540SA:,ASUS,
31299,,Laptop DELL XPS 13 9350:,DELL,
18299,,Laptop DELL Latitude 7250:,DELL,
5499,,Laptop ASUS Transformer Book T100HA:,ASUS,
7099,,Laptop HP 14-AC147LA:,Hewlett Packard,
13299,,Laptop DELL Inspiron 15_3558:,DELL,
25599,,Laptop Acer Aspire VN7-592G-77KP:,Acer,
6599,,Laptop HP Pavilion 15-ac132la:,Hewlett Packard,
8299,,Laptop Acer Aspire E5-473-36K0:,Acer,
7399,,Laptop ASUS X452EA-MS1-H-BLK:,ASUS,
14099,,Laptop Lenovo Yoga 3:,Lenovo,
25199,,Laptop MSI APACHE PRO 203MX:,MSI,
48099,,Laptop MSI Dominator PRO 436MX:,MSI,
